# NAm-TR_113 - PAGES 2K nm559 PIPO Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_113 - nm559
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Swetnam, T.W.;Caprio, A.C.;Lynch, A.M.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: nm559
#	Location: North America
#	Country: New Mexico USA
#	Northernmost_Latitude: 36.42
#	Southernmost_Latitude: 36.42
#	Easternmost_Longitude: -105.26
#	Westernmost_Longitude: -105.26
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_113
#	Earliest_Year: 1391
#	Most_Recent_Year: 1987
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	PIPO, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1200.0	-1.0785
1201.0	-0.908398
1202.0	-0.294109
1203.0	0.187873
1204.0	-0.0483929
1205.0	0.0508389
1206.0	-1.25807
1207.0	-1.44236
1208.0	-0.657957
1209.0	0.320181
1210.0	0.107543
1211.0	-0.0578433
1212.0	0.485567
1213.0	0.0035856
1214.0	0.159521
1215.0	-0.341361
1216.0	-0.440593
1217.0	-1.56521
1218.0	-1.10687
1219.0	-0.336635
1220.0	0.679305
1221.0	-0.468945
1222.0	0.428863
1223.0	0.395786
1224.0	0.821064
1225.0	0.551721
1226.0	0.107543
1227.0	-1.19192
1228.0	-0.0294908
1229.0	0.698206
1230.0	-2.04247
1231.0	0.0461137
1232.0	0.173697
1233.0	-0.549275
1234.0	-0.251581
1235.0	-1.16357
1236.0	-0.969827
1237.0	-1.58411
1238.0	0.0035856
1239.0	-0.317735
1240.0	-0.190152
1241.0	-0.10037
1242.0	-0.596528
1243.0	-0.483121
1244.0	-0.341361
1245.0	-0.161799
1246.0	0.249302
1247.0	-0.270481
1248.0	1.14238
1249.0	0.91557
1250.0	-1.02653
1251.0	-0.988728
1252.0	-0.10037
1253.0	0.537545
1254.0	-1.03125
1255.0	-0.379164
1256.0	0.91557
1257.0	0.329632
1258.0	-0.223228
1259.0	0.30128
1260.0	0.0555641
1261.0	0.736009
1262.0	1.67634
1263.0	0.391061
1264.0	0.202049
1265.0	-0.072019
1266.0	-0.431142
1267.0	0.400512
1268.0	-0.431142
1269.0	-0.554
1270.0	-0.275207
1271.0	-0.572901
1272.0	-0.317735
1273.0	-1.0218
1274.0	-0.47367
1275.0	-0.265756
1276.0	-0.298834
1277.0	-0.185426
1278.0	-0.364988
1279.0	0.769085
1280.0	0.0697397
1281.0	0.192598
1282.0	0.584798
1283.0	1.72832
1284.0	-0.880045
1285.0	-0.624879
1286.0	0.296555
1287.0	-0.47367
1288.0	-0.653232
1289.0	0.159521
1290.0	0.268203
1291.0	-0.0625685
1292.0	-0.728836
1293.0	-1.42346
1294.0	-0.724111
1295.0	-0.554
1296.0	-1.1872
1297.0	-1.22972
1298.0	-0.303559
1299.0	0.126444
1300.0	0.168972
1301.0	0.178422
1302.0	0.0839166
1303.0	-0.478395
1304.0	0.45249
1305.0	-0.388614
1306.0	-0.114547
1307.0	-0.624879
1308.0	-0.119272
1309.0	-1.45181
1310.0	0.126444
1311.0	-0.095645
1312.0	-0.152349
1313.0	0.863592
1314.0	0.849415
