# NAm-TR_144 - PAGES 2K wy041 PIFL Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_144 - wy041
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Pederson, G.T., S.T. Gray, C.A. Woodhouse, J.L. Betancourt, D.B. Fagre, J.S. Littell, E. Watson, B.H. Luckman, and L.J. Graumlich. 2011. The unusual nature of recent snowpack declines in the North American Cordillera. Sciencexpress, Published online 9 June 2011. DOI: 10.1126/science.1201570  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: wy041
#	Location: North America
#	Country: Wyoming USA
#	Northernmost_Latitude: 42.55
#	Southernmost_Latitude: 42.55
#	Easternmost_Longitude: -108.82
#	Westernmost_Longitude: -108.82
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_144
#	Earliest_Year: 1017
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	PIFL, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1200.0	-1.0433
1201.0	-0.574272
1202.0	-1.25054
1203.0	-0.620629
1204.0	-0.00435332
1205.0	-1.0542
1206.0	-1.06238
1207.0	-0.699709
1208.0	-0.626083
1209.0	0.494666
1210.0	0.524662
1211.0	1.41908
1212.0	-0.83878
1213.0	0.216524
1214.0	-0.0697985
1215.0	-0.601541
1216.0	-0.541549
1217.0	-1.82591
1218.0	-1.43324
1219.0	-0.694255
1220.0	-1.54232
1221.0	-0.525188
1222.0	-0.871502
1223.0	-0.906952
1224.0	-0.80333
1225.0	-0.626083
1226.0	1.14912
1227.0	-0.107975
1228.0	-0.437928
1229.0	0.121083
1230.0	-1.86136
1231.0	1.14094
1232.0	-0.735158
1233.0	-0.623356
1234.0	-0.489739
1235.0	0.658279
1236.0	-1.7332
1237.0	-0.440655
1238.0	1.23638
1239.0	0.960964
1240.0	1.47089
1241.0	2.15807
1242.0	2.04081
1243.0	1.76812
1244.0	1.42453
1245.0	-0.743339
1246.0	-0.110702
1247.0	-0.634264
1248.0	-0.277042
1249.0	1.25274
1250.0	0.655553
1251.0	-0.478831
1252.0	-0.62881
1253.0	-1.13874
1254.0	-2.53763
1255.0	-0.96967
1256.0	-0.331579
1257.0	-0.118882
1258.0	-2.21313
1259.0	-0.653352
1260.0	-0.489739
1261.0	-0.307037
1262.0	-0.765154
1263.0	-0.626083
1264.0	-0.615175
1265.0	-0.576999
1266.0	-0.566091
1267.0	-0.372483
1268.0	1.34818
1269.0	1.30455
1270.0	-0.388844
1271.0	1.59087
1272.0	1.39727
1273.0	2.67072
1274.0	0.445583
1275.0	1.19548
1276.0	0.611922
1277.0	0.0338231
1278.0	0.944602
1279.0	-0.0288953
1280.0	-2.03043
1281.0	0.49194
1282.0	0.45649
1283.0	-1.93499
1284.0	0.227432
1285.0	0.838254
1286.0	-2.07679
1287.0	0.475578
1288.0	-0.347941
1289.0	-0.0316222
1290.0	0.980052
1291.0	0.110176
1292.0	0.374684
1293.0	-0.301584
1294.0	-0.118882
1295.0	-0.249773
1296.0	0.655553
1297.0	-0.298857
1298.0	1.52816
1299.0	0.669187
1300.0	0.930968
1301.0	0.980052
1302.0	1.22002
1303.0	1.03459
1304.0	0.54375
1305.0	0.0938145
1306.0	0.838254
1307.0	-1.8041
1308.0	-0.536096
1309.0	0.404679
1310.0	1.4518
1311.0	-0.80333
1312.0	0.431948
1313.0	1.60451
1314.0	-0.454289
1315.0	0.797351
1316.0	-1.46324
1317.0	-0.868776
1318.0	-0.473377
1319.0	-0.459743
1320.0	0.191982
1321.0	0.723725
1322.0	-0.732431
1323.0	-2.26221
1324.0	-0.686074
1325.0	-0.315218
1326.0	1.06186
1327.0	0.219251
1328.0	0.178348
1329.0	-2.31675
1330.0	1.23365
1331.0	1.74085
1332.0	1.45998
1333.0	1.5636
1334.0	1.12458
1335.0	1.0455
1336.0	0.306511
1337.0	-0.0316222
1338.0	0.221978
1339.0	0.0556381
1340.0	-0.626083
1341.0	-0.571545
1342.0	0.401952
1343.0	0.53557
1344.0	0.843708
1345.0	0.407406
1346.0	0.366503
1347.0	0.470124
