#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:2435
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/readme_quelccaya.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2014
# --------------------
# Title 
#	Study_Name: Quelccya Ice Core Data
# --------------------
# Investigators
#	Investigators:  Thompson, L.G.; Mosley-Thompson, E.; Grootes, P.; Pourchet, M.  
# --------------------
# Description_and_Notes
#	Description: This data set contains data derived from the Quelccaya Summit Ice Core by Drs. Lonnie Thompson and Ellen Mosley-Thompson of The 
#	Ohio State University.  The data was updated in May 1992 to extend the data period of record.  A printed documentation volume is now 
#	available from NGDC.  The data contained in the files 'Q83SUM.ALL' and 'Q83COR1.ALL' represent the annual information for the summit 
#	core and core 1, drilled in 1983.  The data for the year 1984 are from a pit excavated in the year following the drilling and thus the 1984 data 
#	are the same for both the summit core and core 1.
# --------------------
# Publication
#	Authors: L.G. Thompson, E. Mosley-Thompson, P. Grooties, and M. Pourchet
#	Published_Date_or_Year: 1984
#	Published_Title:  Tropical glaciers: potential for paleoclimatic reconstruction 
#	Journal_Name: Journal of Geophysical Research
#	Volume: 89
#	Edition: 	
#	Issue: D3
#	Pages: 4638-4646
#	DOI: 10.1029/JD089iD03p04638
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: The objective of this work is to evaluate the potential of tropical glaciers and ice caps for the reconstruction of past climatic conditions by the analysis of firm and ice cores. Samples were collected in pits and from cores retrieved on three snow fields in the South American Andes: Quelccaya Ice Cap and Huascarán in Peru and Chimborazo in Ecuador. These are compared with results from west Africa and Indonesia. Measurements include the microparticle concentration, oxygen isotopic abundance ratios, and total beta radioactivity, which in polar regions often exhibit seasonal depositional cycles. Annual variations in these three parameters are fairly well defined on Quelccaya and Huascarán and are apparently absent on Chimborazo, The Quelccaya Ice Cap contains the best preserved annual signal for all three parameters and, although in some instances the annual cycle is difficult to distinguish, the measurement of more than one stratigraphic parameter aids in the interpretation of the firm core records. The relatively flat bottom topography under Quelccaya suggests a simple ice flow regime, and depth-age calculations indicate that an ice core to bedrock should contain a record of 600 to 1300 years. This inference was confirmed by drilling to bedrock in 1983. This investigation of tropical glaciers indicates that the Quelccaya Ice Cap on the eastern edge of the Peruvian Andes has excellent potential to contain a lengthy and interpletable record of climatic conditions within the tropics of South America.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: Quelccaya Ice Cap
#	Location: South America> Peru
#	Country:  Peru
#	Northernmost_Latitude: -13.93
#	Southernmost_Latitude: -13.93
#	Easternmost_Longitude: -70.83
#	Westernmost_Longitude: -70.83
#	Elevation: 5670 m
# --------------------
# Data_Collection
#	Collection_Name: 84Quel01b
#	Earliest_Year: 488
#	Most_Recent_Year: 1984
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years AD,,,,,N
##accum	accumulation,,,meters of water equivalent,,,Ice Cores,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	accum
1984	1.521
1983	1.07
1982	1.594
1981	1.257
1980	1.731
1979	1.813
1978	1.15
1977	1.1
1976	1.177
1975	1.456
1974	1.419
1973	0.873
1972	1.318
1971	1.688
1970	1.012
1969	1.561
1968	0.904
1967	1.608
1966	1.59
1965	1.084
1964	1.388
1963	1.335
1962	1.658
1961	1.334
1960	1.793
1959	1.286
1958	1.459
1957	1.809
1956	1.688
1955	1.032
1954	1.568
1953	1.059
1952	0.905
1951	1.677
1950	1.849
1949	1.546
1948	1.106
1947	1.48
1946	1.474
1945	1.61
1944	1.231
1943	1.453
1942	1.489
1941	0.661
1940	1.384
1939	1.175
1938	1.263
1937	1.381
1936	1.22
1935	1.273
1934	1.481
1933	1.265
1932	1.458
1931	1.822
1930	1.715
1929	1.327
1928	2.304
1927	0.565
1926	1.502
1925	1.435
1924	1.311
1923	1.567
1922	1.519
1921	1.481
1920	1.918
1919	1.883
1918	0.975
1917	1.503
1916	1.806
1915	1.081
1914	1.373
1913	0.959
1912	1.628
1911	1.583
1910	1.233
1909	1.074
1908	1.616
1907	1.471
1906	0.996
1905	1.039
1904	1.773
1903	1.18
1902	1.47
1901	1.052
1900	0.907
1899	1.475
1898	1.086
1897	1.156
1896	1.36
1895	1.793
1894	1.238
1893	1.266
1892	1.526
1891	1.168
1890	1.338
1889	1.177
1888	1.349
1887	1.396
1886	1.213
1885	1.607
1884	1.372
1883	1.2
1882	1.161
1881	1.379
1880	1.184
1879	1.453
1878	2.12
1877	1.435
1876	1.376
1875	1.902
1874	1.366
1873	1.305
1872	1.243
1871	1.171
1870	1.351
1869	1.356
1868	1.173
1867	1.579
1866	1.236
1865	1.324
1864	1.3
1863	1.189
1862	1.241
1861	1.461
1860	1.264
1859	1.233
1858	1.202
1857	1.299
1856	1.136
1855	1.058
1854	1.379
1853	0.898
1852	1.54
1851	1.371
1850	1.037
1849	1.535
1848	0.68
1847	1.467
1846	1.194
1845	1.084
1844	1.239
1843	0.956
1842	1.161
1841	1.146
1840	0.93
1839	1.445
1838	1.575
1837	1.212
1836	1.196
1835	1.468
1834	0.687
1833	1.439
1832	0.887
1831	1.49
1830	1.038
1829	1.295
1828	1.138
1827	0.896
1826	1.411
1825	1.394
1824	1.319
1823	1.156
1822	0.787
1821	1.087
1820	1.302
1819	1.014
1818	1.293
1817	1.151
1816	1.069
1815	1.446
1814	0.93
1813	1.469
1812	1.228
1811	1.142
1810	0.895
1809	1.127
1808	1.59
1807	0.785
1806	1.008
1805	1.075
1804	1.237
1803	0.741
1802	1.526
1801	0.82
1800	1.342
1799	1.283
1798	1.222
1797	1.055
1796	1.098
1795	1.035
1794	1.279
1793	1.136
1792	0.838
1791	0.991
1790	1.678
1789	1.102
1788	0.937
1787	1.245
1786	1.33
1785	1.109
1784	0.809
1783	1.513
1782	1.132
1781	1.179
1780	1.267
1779	1.554
1778	1.284
1777	1.131
1776	1.252
1775	1.514
1774	1.153
1773	0.945
1772	1.135
1771	1.151
1770	1.632
1769	1.115
1768	0.591
1767	1.207
1766	1.648
1765	1.047
1764	1.142
1763	1.238
1762	1.201
1761	1.164
1760	1.036
1759	1.541
1758	0.729
1757	1.284
1756	0.831
1755	1.579
1754	0.934
1753	1.41
1752	0.946
1751	1.522
1750	1.244
1749	1.252
1748	1.259
1747	1.364
1746	1.176
1745	1.183
1744	1.002
1743	1.187
1742	1.756
1741	1.059
1740	1.015
1739	1.633
1738	1.488
1737	1.187
1736	1.038
1735	1.566
1734	1.05
1733	1.689
1732	1.38
1731	1.388
1730	0.966
1729	1.403
1728	1.194
1727	1.31
1726	0.823
1725	1.71
1724	1.165
1723	1.171
1722	1.065
1721	1.296
1720	1.53
