# NAm-TR_33 - PAGES 2K cana106 THOC Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_33 - cana106
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Archambault, S. and Bergeron, Y. 1992. An 802-year tree-ring chronology from the Quebec boreal forest. Canadian Journal of Forest Research 22: 674-682.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: cana106
#	Location: North America
#	Country: Canada
#	Northernmost_Latitude: 48.28
#	Southernmost_Latitude: 48.28
#	Easternmost_Longitude: -79.17
#	Westernmost_Longitude: -79.17
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_33
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	THOC, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1200.0	0.116073
1201.0	-0.56906
1202.0	0.306387
1203.0	0.290074
1204.0	2.49229
1205.0	1.80715
1206.0	4.43349
1207.0	3.96587
1208.0	3.06323
1209.0	2.99254
1210.0	1.98659
1211.0	2.11166
1212.0	2.01922
1213.0	0.681579
1214.0	0.578265
1215.0	0.426013
1216.0	1.68209
1217.0	0.621766
1218.0	-0.286307
1219.0	-1.68376
1220.0	0.00188362
1221.0	-1.08019
1222.0	-2.0807
1223.0	-1.56957
1224.0	-2.04807
1225.0	-2.37433
1226.0	-1.09106
1227.0	-1.59132
1228.0	-0.373308
1229.0	-0.77025
1230.0	-0.0905548
1231.0	-0.873563
1232.0	-1.50432
1233.0	-1.62939
1234.0	-2.20576
1235.0	-3.38028
1236.0	-1.96107
1237.0	-1.22157
1238.0	-1.77619
1239.0	-0.976877
1240.0	-0.0959924
1241.0	0.556515
1242.0	-0.231931
1243.0	0.0725721
1244.0	-0.166681
1245.0	-0.563622
1246.0	-1.23244
1247.0	-0.623436
1248.0	0.306387
1249.0	0.975206
1250.0	-0.134055
1251.0	-0.879001
1252.0	0.85558
1253.0	0.0997599
1254.0	0.0888848
1255.0	0.0236339
1256.0	0.116073
1257.0	0.719642
1258.0	1.48089
1259.0	1.57878
1260.0	-0.476621
1261.0	-1.74357
1262.0	-1.42275
1263.0	-1.15631
1264.0	-1.0095
1265.0	-0.172118
1266.0	-0.155805
1267.0	0.58914
1268.0	1.11115
1269.0	-0.106867
1270.0	-0.721312
1271.0	0.0562592
1272.0	-0.514684
1273.0	-1.08563
1274.0	-0.204743
1275.0	-0.634311
1276.0	-0.509247
1277.0	0.110635
1278.0	-1.06388
1279.0	-1.54782
1280.0	-1.03125
1281.0	-1.37381
1282.0	-1.08563
1283.0	-0.134055
1284.0	-1.33032
1285.0	-0.715874
1286.0	-0.656061
1287.0	-2.37433
1288.0	-0.998627
1289.0	-1.16176
1290.0	-0.482059
1291.0	-1.24876
1292.0	-0.971439
1293.0	-1.87408
1294.0	-0.884438
1295.0	-1.32488
1296.0	-0.77025
1297.0	-1.54782
1298.0	-1.11282
1299.0	-1.36294
1300.0	-0.541872
1301.0	-0.715874
1302.0	-0.514684
1303.0	0.262887
1304.0	0.382513
1305.0	-0.0144291
1306.0	1.11115
1307.0	-0.0579294
1308.0	-0.248244
1309.0	-0.726749
1310.0	-0.422246
1311.0	0.219386
1312.0	1.06764
1313.0	0.14326
1314.0	-0.36787
1315.0	-0.748499
1316.0	-0.0524919
1317.0	-1.08563
