# NAm-TR_97 - PAGES 2K mt116 -- alt. standardization LALY Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_97 - mt116 -- alt. standardization
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Hughes, M.K.;Woodhouse, C.A.;Brown, P.M.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: mt116 -- alt. standardization
#	Location: North America
#	Country: Montana USA
#	Northernmost_Latitude: 46.28
#	Southernmost_Latitude: 46.28
#	Easternmost_Longitude: -113.15
#	Westernmost_Longitude: -113.15
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_97
#	Earliest_Year: 999
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	LALY, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1200.0	0.441382
1201.0	0.685319
1202.0	0.108312
1203.0	-1.19582
1204.0	-0.553134
1205.0	-0.595355
1206.0	0.127077
1207.0	0.00979889
1208.0	1.12159
1209.0	0.178679
1210.0	-0.337344
1211.0	-0.750161
1212.0	-2.34514
1213.0	-0.412401
1214.0	-0.933115
1215.0	-1.06916
1216.0	-0.0511855
1217.0	-0.66103
1218.0	0.324104
1219.0	0.258428
1220.0	1.25764
1221.0	0.549276
1222.0	-0.28105
1223.0	0.230281
1224.0	-0.0183477
1225.0	-0.426475
1226.0	0.872963
1227.0	-0.811145
1228.0	-0.53437
1229.0	0.122386
1230.0	-0.28105
1231.0	0.281884
1232.0	-0.496841
1233.0	-0.970643
1234.0	-2.10589
1235.0	-1.20051
1236.0	-1.26149
1237.0	0.234972
1238.0	0.0660923
1239.0	0.938639
1240.0	-0.121552
1241.0	-1.36001
1242.0	-0.393636
1243.0	-0.0980967
1244.0	0.263119
1245.0	-0.36549
1246.0	-0.28105
1247.0	0.05671
1248.0	0.69001
1249.0	-0.501532
1250.0	-0.726706
1251.0	-1.68838
1252.0	-1.31779
1253.0	-0.778308
1254.0	0.145841
1255.0	1.1732
1256.0	-0.0371121
1257.0	2.57583
1258.0	1.78304
1259.0	1.47812
1260.0	0.891728
1261.0	-0.754852
1262.0	-1.79159
1263.0	-0.679794
1264.0	0.31003
1265.0	0.535203
1266.0	0.788524
1267.0	-0.609428
1268.0	0.178679
1269.0	1.63761
1270.0	0.666554
1271.0	0.633717
1272.0	0.39447
1273.0	2.07389
1274.0	0.389779
1275.0	1.07937
1276.0	1.23418
1277.0	0.619644
1278.0	-0.726706
1279.0	-1.20989
1280.0	-1.14421
1281.0	0.431999
1282.0	0.835434
1283.0	0.474219
1284.0	0.0144901
1285.0	0.718156
1286.0	-0.0605677
1287.0	-0.304505
1288.0	-0.801763
1289.0	-0.632883
1290.0	0.0801656
1291.0	0.431999
1292.0	0.272502
1293.0	0.0848568
1294.0	0.952712
1295.0	0.905801
1296.0	1.47342
1297.0	0.417925
1298.0	0.22559
1299.0	-0.539061
1300.0	-0.722014
1301.0	-0.44993
1302.0	-1.70245
1303.0	-1.18643
1304.0	-0.707941
1305.0	0.155224
1306.0	0.342868
1307.0	2.05043
1308.0	-0.220066
1309.0	0.887036
1310.0	0.417925
1311.0	-0.0511855
1312.0	-0.797072
1313.0	0.0895478
1314.0	-0.360799
1315.0	-0.309197
1316.0	0.417925
1317.0	1.84403
